name_with_owner,stargazers,created_at,releases_count,n_classes,cbo_mean,dit_mean,lcom_mean,loc,comment_lines
StarRocks/starrocks,11550,2021-09-04T02:29:35Z,180,11078,7.17728831919119,1.4583859902509477,134.4977432749594,873796.0,
SuperMonster003/AutoJs6,5634,2021-12-01T05:27:22Z,21,1820,5.183516483516484,1.4664835164835164,42.40384615384615,118612.0,
Suwayomi/Suwayomi-Server,6747,2020-12-23T20:31:38Z,58,412,5.546116504854369,1.6189320388349515,1495.5218446601941,41481.0,
TGX-Android/Telegram-X,5478,2021-08-17T17:09:25Z,6,2885,9.268630849220104,1.4069324090121318,548.9199306759099,421723.0,
TNG/ArchUnit,3650,2017-04-21T08:39:20Z,43,3673,3.6098557037843726,1.2744350667029676,39.49305744622924,80143.0,
Team-xManager/xManager,12191,2021-02-08T11:31:10Z,51,524,2.017175572519084,1.0209923664122138,4.732824427480916,21822.0,
TeamNewPipe/NewPipe,37766,2015-09-03T23:39:26Z,141,504,8.66468253968254,1.7182539682539681,47.87301587301587,38887.0,
Tencent/APIJSON,18406,2016-11-21T12:03:29Z,112,70,5.914285714285715,1.2428571428571429,1169.3285714285714,13927.0,
Tencent/GT,4413,2016-01-13T10:29:55Z,3,1060,3.699056603773585,1.289622641509434,13.650943396226415,56014.0,
Tencent/QMUI_Android,14509,2017-04-21T10:03:18Z,35,1066,5.468105065666041,1.629455909943715,35.34240150093809,58309.0,
Tencent/Shadow,7749,2019-06-13T10:50:27Z,5,674,4.259643916913946,1.7789317507418398,17.33234421364985,21909.0,
Tencent/VasSonic,11875,2017-08-01T08:35:13Z,10,111,4.198198198198198,1.2792792792792793,21.61261261261261,7421.0,
Tencent/matrix,11997,2018-12-11T07:08:02Z,16,1393,5.816941852117732,1.346015793251974,12.894472361809045,79032.0,
Tencent/tinker,17787,2016-09-06T06:57:52Z,60,520,4.786538461538462,1.603846153846154,28.471153846153847,40447.0,
TheAlgorithms/Java,65345,2016-07-16T10:21:02Z,0,1771,2.0767927724449464,1.0383963862224732,11.20496894409938,72867.0,
TheoKanning/openai-java,4756,2020-09-15T02:58:52Z,22,165,5.387878787878788,1.084848484848485,15.55151515151515,2783.0,
ThirtyDegreesRay/OpenHub,4390,2017-07-11T13:29:51Z,31,656,6.7560975609756095,1.6326219512195121,32.92835365853659,24549.0,
Threekiii/Awesome-POC,4900,2022-02-20T06:43:22Z,2,1,7.0,2.0,0.0,42.0,
TommyLemon/Android-ZBLibrary,5605,2015-08-20T16:03:53Z,25,318,5.377358490566038,1.559748427672956,26.666666666666668,14727.0,
TooTallNate/Java-WebSocket,10798,2010-01-20T23:33:04Z,19,262,3.5916030534351147,1.816793893129771,37.05725190839695,13166.0,
Trinea/android-common,5023,2012-06-19T07:49:46Z,1,110,4.445454545454545,1.2454545454545454,43.06363636363636,6716.0,
VaughnVernon/IDDD_Samples,3923,2013-04-08T22:12:57Z,0,651,4.7357910906298,1.6436251920122888,27.327188940092167,28475.0,
Vedenin/useful-java-links,6157,2016-02-13T13:14:52Z,0,263,2.3041825095057034,1.0228136882129277,1.832699619771863,5964.0,
WVector/AppUpdate,3582,2017-06-19T09:38:42Z,3,64,4.4375,1.15625,37.140625,2925.0,
WeiYe-Jing/datax-web,5990,2019-11-19T01:09:05Z,5,317,5.041009463722397,1.38801261829653,13.239747634069401,13801.0,
WinterChenS/my-site,3474,2018-05-03T09:05:37Z,0,90,6.188888888888889,1.1888888888888889,35.022222222222226,3496.0,
XRecyclerView/XRecyclerView,5317,2015-11-18T08:14:22Z,0,166,3.9096385542168677,1.4216867469879517,9.042168674698795,5151.0,
Yalantis/Phoenix,3987,2015-01-12T14:11:20Z,1,24,4.333333333333333,1.6666666666666667,7.541666666666667,976.0,
Yalantis/Side-Menu.Android,5232,2015-01-13T11:11:27Z,2,18,3.888888888888889,1.2222222222222223,4.111111111111111,449.0,
Yalantis/uCrop,12106,2016-01-05T13:41:06Z,20,77,6.337662337662338,1.3636363636363635,28.90909090909091,4707.0,
YoKeyword/Fragmentation,9703,2016-02-23T08:54:55Z,30,284,5.232394366197183,1.7077464788732395,15.116197183098592,8981.0,
YunaiV/ruoyi-vue-pro,36285,2021-01-24T03:18:25Z,54,5067,8.18255377935662,1.223406354845076,13.586540359186895,132355.0,
YunaiV/yudao-cloud,18763,2019-05-02T16:06:49Z,40,5114,8.165623777864685,1.2145091904575676,13.450527962456004,130630.0,
ZCShou/GoGoGo,10216,2021-12-03T06:59:39Z,8,48,7.708333333333333,1.4583333333333333,12.875,3813.0,
ZHENFENG13/My-Blog,3883,2019-03-04T09:17:00Z,0,58,4.758620689655173,1.0517241379310345,29.551724137931036,2411.0,
ZHENFENG13/spring-boot-projects,5727,2017-04-01T01:50:14Z,0,107,4.299065420560748,1.074766355140187,9.102803738317757,2603.0,
ZhongFuCheng3y/austin,6048,2021-11-06T09:36:01Z,0,348,6.267241379310345,1.1235632183908046,1.4511494252873562,6538.0,
aa112901/remusic,6382,2016-03-24T06:20:39Z,0,845,5.18698224852071,1.4532544378698224,41.646153846153844,47786.0,
abel533/Mapper,7388,2014-11-21T11:02:10Z,11,464,5.086206896551724,1.2435344827586208,36.23706896551724,19455.0,
aeron-io/aeron,8569,2014-02-07T17:16:58Z,139,1345,7.935315985130112,1.2825278810408922,118.86840148698884,127180.0,
ageerle/ruoyi-ai,5066,2024-01-16T04:16:41Z,6,910,7.195604395604396,1.286813186813187,9.613186813186813,27206.0,
airbnb/epoxy,8569,2016-08-08T23:05:11Z,78,637,7.535321821036106,1.7645211930926217,148.39089481946624,48686.0,
airbnb/lottie-android,35595,2016-10-06T22:42:42Z,63,291,6.965635738831615,1.288659793814433,35.80068728522337,18159.0,
alibaba/ARouter,14492,2016-12-14T01:27:49Z,16,98,3.704081632653061,1.4081632653061225,17.448979591836736,3165.0,
alibaba/Alink,3618,2018-09-30T06:36:11Z,22,8181,6.472680601393472,1.742329788534409,34.70272582813837,475597.0,
alibaba/COLA,12921,2018-02-06T13:46:27Z,11,559,4.325581395348837,1.3452593917710196,4.974955277280858,9619.0,
alibaba/DataX,17164,2018-01-18T10:09:47Z,7,1222,4.463175122749591,1.7029459901800328,22.648936170212767,81194.0,
alibaba/QLExpress,5562,2017-03-15T08:39:54Z,25,355,5.783098591549296,1.4,44.00281690140845,13807.0,
