owner,name,repo_full,url,stars,contributors,commits_5_anos,default_branch,faixa_stars,faixa_contributors,faixa_commits
openai,openai-agents-python,openai/openai-agents-python,https://github.com/openai/openai-agents-python,26602,276,1583,main,4. 25k–50k,4. 201–1000,3. 1k–5k
getzep,graphiti,getzep/graphiti,https://github.com/getzep/graphiti,26437,41,831,main,4. 25k–50k,2. 11–50,2. 500–999
anthropics,claude-plugins-official,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,26428,32,405,main,4. 25k–50k,2. 11–50,1. 100–499
Fosowl,agenticSeek,Fosowl/agenticSeek,https://github.com/Fosowl/agenticSeek,26419,45,944,main,4. 25k–50k,2. 11–50,2. 500–999
mvanhorn,last30days-skill,mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,26406,48,618,main,4. 25k–50k,2. 11–50,2. 500–999
WZMIAOMIAO,deep-learning-for-image-processing,WZMIAOMIAO/deep-learning-for-image-processing,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,26240,7,653,master,4. 25k–50k,1. 5–10,2. 500–999
subframe7536,maple-font,subframe7536/maple-font,https://github.com/subframe7536/maple-font,26117,17,723,variable,4. 25k–50k,2. 11–50,2. 500–999
walter201230,Python,walter201230/Python,https://github.com/walter201230/Python,26104,10,119,master,4. 25k–50k,1. 5–10,1. 100–499
mlflow,mlflow,mlflow/mlflow,https://github.com/mlflow/mlflow,26077,1057,10268,master,4. 25k–50k,5. > 1000,4. 5k–20k
huggingface,open-r1,huggingface/open-r1,https://github.com/huggingface/open-r1,26022,44,199,main,4. 25k–50k,2. 11–50,1. 100–499
ycm-core,YouCompleteMe,ycm-core/YouCompleteMe,https://github.com/ycm-core/YouCompleteMe,25909,200,447,master,4. 25k–50k,3. 51–200,1. 100–499
ScrapeGraphAI,Scrapegraph-ai,ScrapeGraphAI/Scrapegraph-ai,https://github.com/ScrapeGraphAI/Scrapegraph-ai,25806,119,2875,main,4. 25k–50k,3. 51–200,3. 1k–5k
usestrix,strix,usestrix/strix,https://github.com/usestrix/strix,25564,37,364,main,4. 25k–50k,2. 11–50,1. 100–499
agentscope-ai,agentscope,agentscope-ai/agentscope,https://github.com/agentscope-ai/agentscope,25507,54,276,main,4. 25k–50k,3. 51–200,1. 100–499
keon,algorithms,keon/algorithms,https://github.com/keon/algorithms,25451,221,123,main,4. 25k–50k,4. 201–1000,1. 100–499
Cinnamon,kotaemon,Cinnamon/kotaemon,https://github.com/Cinnamon/kotaemon,25394,39,326,main,4. 25k–50k,2. 11–50,1. 100–499
K-Dense-AI,scientific-agent-skills,K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,25361,41,474,main,4. 25k–50k,2. 11–50,1. 100–499
zai-org,Open-AutoGLM,zai-org/Open-AutoGLM,https://github.com/zai-org/Open-AutoGLM,25351,13,106,main,4. 25k–50k,2. 11–50,1. 100–499
PrefectHQ,fastmcp,PrefectHQ/fastmcp,https://github.com/PrefectHQ/fastmcp,25283,249,3504,main,4. 25k–50k,4. 201–1000,3. 1k–5k
zulip,zulip,zulip/zulip,https://github.com/zulip/zulip,25264,1310,28258,main,4. 25k–50k,5. > 1000,5. > 20k
OpenBMB,MiniCPM-V,OpenBMB/MiniCPM-V,https://github.com/OpenBMB/MiniCPM-V,25214,36,674,main,4. 25k–50k,2. 11–50,2. 500–999
lucidrains,vit-pytorch,lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,25201,27,255,main,4. 25k–50k,2. 11–50,1. 100–499
pypa,pipenv,pypa/pipenv,https://github.com/pypa/pipenv,25074,542,2542,main,4. 25k–50k,4. 201–1000,3. 1k–5k
kovidgoyal,calibre,kovidgoyal/calibre,https://github.com/kovidgoyal/calibre,24896,470,10160,master,3. 10k–25k,4. 201–1000,4. 5k–20k
cookiecutter,cookiecutter,cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,24892,333,420,main,3. 10k–25k,4. 201–1000,1. 100–499
spotDL,spotify-downloader,spotDL/spotify-downloader,https://github.com/spotDL/spotify-downloader,24884,188,1738,master,3. 10k–25k,3. 51–200,3. 1k–5k
microsoft,JARVIS,microsoft/JARVIS,https://github.com/microsoft/JARVIS,24757,23,112,main,3. 10k–25k,2. 11–50,1. 100–499
volcengine,OpenViking,volcengine/OpenViking,https://github.com/volcengine/OpenViking,24563,157,1201,main,3. 10k–25k,3. 51–200,3. 1k–5k
