owner,name,repo_full,url,stars,contributors,commits_5_anos,default_branch,faixa_stars,faixa_contributors,faixa_commits
HKUDS,AI-Trader,HKUDS/AI-Trader,https://github.com/HKUDS/AI-Trader,18561,19,343,main,3. 10k–25k,2. 11–50,1. 100–499
plotly,plotly.py,plotly/plotly.py,https://github.com/plotly/plotly.py,18548,321,3616,main,3. 10k–25k,4. 201–1000,3. 1k–5k
openai,evals,openai/evals,https://github.com/openai/evals,18522,442,691,main,3. 10k–25k,4. 201–1000,2. 500–999
huggingface,trl,huggingface/trl,https://github.com/huggingface/trl,18448,482,2797,main,3. 10k–25k,4. 201–1000,3. 1k–5k
KlingAIResearch,LivePortrait,KlingAIResearch/LivePortrait,https://github.com/KlingAIResearch/LivePortrait,18408,12,125,main,3. 10k–25k,2. 11–50,1. 100–499
state-spaces,mamba,state-spaces/mamba,https://github.com/state-spaces/mamba,18292,55,226,main,3. 10k–25k,3. 51–200,1. 100–499
mikf,gallery-dl,mikf/gallery-dl,https://github.com/mikf/gallery-dl,18254,210,4982,master,3. 10k–25k,4. 201–1000,3. 1k–5k
emcie-co,parlant,emcie-co/parlant,https://github.com/emcie-co/parlant,18086,46,5476,develop,3. 10k–25k,2. 11–50,4. 5k–20k
Evil0ctal,Douyin_TikTok_Download_API,Evil0ctal/Douyin_TikTok_Download_API,https://github.com/Evil0ctal/Douyin_TikTok_Download_API,18018,24,1123,main,3. 10k–25k,2. 11–50,3. 1k–5k
fastapi,sqlmodel,fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,17972,112,1230,main,3. 10k–25k,3. 51–200,3. 1k–5k
stas00,ml-engineering,stas00/ml-engineering,https://github.com/stas00/ml-engineering,17970,49,1024,master,3. 10k–25k,2. 11–50,3. 1k–5k
xming521,WeClone,xming521/WeClone,https://github.com/xming521/WeClone,17939,12,440,master,3. 10k–25k,2. 11–50,1. 100–499
arc53,DocsGPT,arc53/DocsGPT,https://github.com/arc53/DocsGPT,17896,236,4757,main,3. 10k–25k,4. 201–1000,3. 1k–5k
smicallef,spiderfoot,smicallef/spiderfoot,https://github.com/smicallef/spiderfoot,17883,57,595,master,3. 10k–25k,3. 51–200,2. 500–999
apple,ml-stable-diffusion,apple/ml-stable-diffusion,https://github.com/apple/ml-stable-diffusion,17852,40,127,main,3. 10k–25k,2. 11–50,1. 100–499
fail2ban,fail2ban,fail2ban/fail2ban,https://github.com/fail2ban/fail2ban,17822,293,667,master,3. 10k–25k,4. 201–1000,2. 500–999
agent0ai,agent-zero,agent0ai/agent-zero,https://github.com/agent0ai/agent-zero,17779,52,2195,main,3. 10k–25k,3. 51–200,3. 1k–5k
pytorch,vision,pytorch/vision,https://github.com/pytorch/vision,17692,684,2466,main,3. 10k–25k,4. 201–1000,3. 1k–5k
ActivityWatch,activitywatch,ActivityWatch/activitywatch,https://github.com/ActivityWatch/activitywatch,17647,32,395,master,3. 10k–25k,2. 11–50,1. 100–499
jianchang512,pyvideotrans,jianchang512/pyvideotrans,https://github.com/jianchang512/pyvideotrans,17513,29,1212,main,3. 10k–25k,2. 11–50,3. 1k–5k
pallets,click,pallets/click,https://github.com/pallets/click,17508,445,1270,main,3. 10k–25k,4. 201–1000,3. 1k–5k
topoteretes,cognee,topoteretes/cognee,https://github.com/topoteretes/cognee,17476,160,7577,main,3. 10k–25k,3. 51–200,4. 5k–20k
dortania,OpenCore-Legacy-Patcher,dortania/OpenCore-Legacy-Patcher,https://github.com/dortania/OpenCore-Legacy-Patcher,17462,42,3166,main,3. 10k–25k,2. 11–50,3. 1k–5k
MustardChef,WSABuilds,MustardChef/WSABuilds,https://github.com/MustardChef/WSABuilds,17397,37,1476,master,3. 10k–25k,2. 11–50,3. 1k–5k
allenai,olmocr,allenai/olmocr,https://github.com/allenai/olmocr,17347,16,2126,main,3. 10k–25k,2. 11–50,3. 1k–5k
tirth8205,code-review-graph,tirth8205/code-review-graph,https://github.com/tirth8205/code-review-graph,17258,78,442,main,3. 10k–25k,3. 51–200,1. 100–499
NVIDIA-NeMo,NeMo,NVIDIA-NeMo/NeMo,https://github.com/NVIDIA-NeMo/NeMo,17253,491,5712,main,3. 10k–25k,4. 201–1000,4. 5k–20k
pydantic,pydantic-ai,pydantic/pydantic-ai,https://github.com/pydantic/pydantic-ai,17242,452,2102,main,3. 10k–25k,4. 201–1000,3. 1k–5k
microsoft,agent-lightning,microsoft/agent-lightning,https://github.com/microsoft/agent-lightning,17212,31,255,main,3. 10k–25k,2. 11–50,1. 100–499
ranger,ranger,ranger/ranger,https://github.com/ranger/ranger,17197,271,710,master,3. 10k–25k,4. 201–1000,2. 500–999
kvcache-ai,ktransformers,kvcache-ai/ktransformers,https://github.com/kvcache-ai/ktransformers,17190,115,1275,main,3. 10k–25k,3. 51–200,3. 1k–5k
Huanshere,VideoLingo,Huanshere/VideoLingo,https://github.com/Huanshere/VideoLingo,17130,19,969,main,3. 10k–25k,2. 11–50,2. 500–999
google,magika,google/magika,https://github.com/google/magika,17042,43,1745,main,3. 10k–25k,2. 11–50,3. 1k–5k
camel-ai,camel,camel-ai/camel,https://github.com/camel-ai/camel,17025,213,2209,master,3. 10k–25k,4. 201–1000,3. 1k–5k
aws,aws-cli,aws/aws-cli,https://github.com/aws/aws-cli,16984,500,4561,develop,3. 10k–25k,4. 201–1000,3. 1k–5k
networkx,networkx,networkx/networkx,https://github.com/networkx/networkx,16938,832,1806,main,3. 10k–25k,4. 201–1000,3. 1k–5k
agentscope-ai,QwenPaw,agentscope-ai/QwenPaw,https://github.com/agentscope-ai/QwenPaw,16903,164,1254,main,3. 10k–25k,3. 51–200,3. 1k–5k
exaloop,codon,exaloop/codon,https://github.com/exaloop/codon,16782,21,955,develop,3. 10k–25k,2. 11–50,2. 500–999
ipython,ipython,ipython/ipython,https://github.com/ipython/ipython,16705,1069,3359,main,3. 10k–25k,5. > 1000,3. 1k–5k
rendercv,rendercv,rendercv/rendercv,https://github.com/rendercv/rendercv,16693,63,1961,main,3. 10k–25k,3. 51–200,3. 1k–5k
caronc,apprise,caronc/apprise,https://github.com/caronc/apprise,16613,103,626,master,3. 10k–25k,3. 51–200,2. 500–999
QwenLM,Qwen3-Coder,QwenLM/Qwen3-Coder,https://github.com/QwenLM/Qwen3-Coder,16549,35,353,main,3. 10k–25k,2. 11–50,1. 100–499
suitenumerique,docs,suitenumerique/docs,https://github.com/suitenumerique/docs,16529,73,2096,main,3. 10k–25k,3. 51–200,3. 1k–5k
AsyncFuncAI,deepwiki-open,AsyncFuncAI/deepwiki-open,https://github.com/AsyncFuncAI/deepwiki-open,16521,66,219,main,3. 10k–25k,3. 51–200,1. 100–499
Free-TV,IPTV,Free-TV/IPTV,https://github.com/Free-TV/IPTV,16443,104,1444,master,3. 10k–25k,3. 51–200,3. 1k–5k
aio-libs,aiohttp,aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,16441,839,5523,master,3. 10k–25k,4. 201–1000,4. 5k–20k
NVIDIA,Megatron-LM,NVIDIA/Megatron-LM,https://github.com/NVIDIA/Megatron-LM,16431,338,7999,main,3. 10k–25k,4. 201–1000,4. 5k–20k
piskvorky,gensim,piskvorky/gensim,https://github.com/piskvorky/gensim,16417,464,392,develop,3. 10k–25k,4. 201–1000,1. 100–499
QwenLM,Qwen-Agent,QwenLM/Qwen-Agent,https://github.com/QwenLM/Qwen-Agent,16385,35,304,main,3. 10k–25k,2. 11–50,1. 100–499
laramies,theHarvester,laramies/theHarvester,https://github.com/laramies/theHarvester,16299,123,2068,master,3. 10k–25k,3. 51–200,3. 1k–5k
modelscope,FunASR,modelscope/FunASR,https://github.com/modelscope/FunASR,16211,176,4934,main,3. 10k–25k,3. 51–200,3. 1k–5k
raga-ai-hub,RagaAI-Catalyst,raga-ai-hub/RagaAI-Catalyst,https://github.com/raga-ai-hub/RagaAI-Catalyst,16165,28,1095,main,3. 10k–25k,2. 11–50,3. 1k–5k
flet-dev,flet,flet-dev/flet,https://github.com/flet-dev/flet,16119,90,1431,main,3. 10k–25k,3. 51–200,3. 1k–5k
langbot-app,LangBot,langbot-app/LangBot,https://github.com/langbot-app/LangBot,16093,84,3533,master,3. 10k–25k,3. 51–200,3. 1k–5k
tgbot-collection,YYeTsBot,tgbot-collection/YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,16083,8,368,master,3. 10k–25k,1. 5–10,1. 100–499
Rapptz,discord.py,Rapptz/discord.py,https://github.com/Rapptz/discord.py,16067,455,2293,master,3. 10k–25k,4. 201–1000,3. 1k–5k
alirezarezvani,claude-skills,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,16011,31,979,main,3. 10k–25k,2. 11–50,2. 500–999
browser-use,web-ui,browser-use/web-ui,https://github.com/browser-use/web-ui,15992,57,450,main,3. 10k–25k,3. 51–200,1. 100–499
MatrixTM,MHDDoS,MatrixTM/MHDDoS,https://github.com/MatrixTM/MHDDoS,15937,32,476,main,3. 10k–25k,2. 11–50,1. 100–499
muratcankoylan,Agent-Skills-for-Context-Engineering,muratcankoylan/Agent-Skills-for-Context-Engineering,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering,15907,10,162,main,3. 10k–25k,1. 5–10,1. 100–499
wkentaro,labelme,wkentaro/labelme,https://github.com/wkentaro/labelme,15902,83,1583,main,3. 10k–25k,3. 51–200,3. 1k–5k
cvat-ai,cvat,cvat-ai/cvat,https://github.com/cvat-ai/cvat,15890,304,4031,develop,3. 10k–25k,4. 201–1000,3. 1k–5k
cft0808,edict,cft0808/edict,https://github.com/cft0808/edict,15847,17,149,main,3. 10k–25k,2. 11–50,1. 100–499
zauberzeug,nicegui,zauberzeug/nicegui,https://github.com/zauberzeug/nicegui,15833,218,6437,main,3. 10k–25k,4. 201–1000,4. 5k–20k
jaakkopasanen,AutoEq,jaakkopasanen/AutoEq,https://github.com/jaakkopasanen/AutoEq,15824,19,391,master,3. 10k–25k,2. 11–50,1. 100–499
Kanaries,pygwalker,Kanaries/pygwalker,https://github.com/Kanaries/pygwalker,15804,27,637,main,3. 10k–25k,2. 11–50,2. 500–999
pyecharts,pyecharts,pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,15767,45,187,master,3. 10k–25k,2. 11–50,1. 100–499
fortra,impacket,fortra/impacket,https://github.com/fortra/impacket,15746,306,819,master,3. 10k–25k,4. 201–1000,2. 500–999
HKUDS,DeepCode,HKUDS/DeepCode,https://github.com/HKUDS/DeepCode,15684,8,161,main,3. 10k–25k,1. 5–10,1. 100–499
confident-ai,deepeval,confident-ai/deepeval,https://github.com/confident-ai/deepeval,15655,288,9473,main,3. 10k–25k,4. 201–1000,4. 5k–20k
treeverse,dvc,treeverse/dvc,https://github.com/treeverse/dvc,15622,331,2965,main,3. 10k–25k,4. 201–1000,3. 1k–5k
dagster-io,dagster,dagster-io/dagster,https://github.com/dagster-io/dagster,15562,675,19877,master,3. 10k–25k,4. 201–1000,4. 5k–20k
mindverse,Second-Me,mindverse/Second-Me,https://github.com/mindverse/Second-Me,15543,35,186,master,3. 10k–25k,2. 11–50,1. 100–499
microsoft,pyright,microsoft/pyright,https://github.com/microsoft/pyright,15451,145,5030,main,3. 10k–25k,3. 51–200,4. 5k–20k
saltstack,salt,saltstack/salt,https://github.com/saltstack/salt,15448,4034,12767,master,3. 10k–25k,5. > 1000,4. 5k–20k
fabric,fabric,fabric/fabric,https://github.com/fabric/fabric,15437,19,156,main,3. 10k–25k,2. 11–50,1. 100–499
ansible,awx,ansible/awx,https://github.com/ansible/awx,15428,689,5203,devel,3. 10k–25k,4. 201–1000,4. 5k–20k
edent,SuperTinyIcons,edent/SuperTinyIcons,https://github.com/edent/SuperTinyIcons,15339,178,924,master,3. 10k–25k,3. 51–200,2. 500–999
rossant,awesome-math,rossant/awesome-math,https://github.com/rossant/awesome-math,15339,80,139,master,3. 10k–25k,3. 51–200,1. 100–499
GaiZhenbiao,ChuanhuChatGPT,GaiZhenbiao/ChuanhuChatGPT,https://github.com/GaiZhenbiao/ChuanhuChatGPT,15332,55,1263,main,3. 10k–25k,3. 51–200,3. 1k–5k
jupyter,jupyter,jupyter/jupyter,https://github.com/jupyter/jupyter,15313,107,318,master,3. 10k–25k,3. 51–200,1. 100–499
Canner,WrenAI,Canner/WrenAI,https://github.com/Canner/WrenAI,15311,61,2465,main,3. 10k–25k,3. 51–200,3. 1k–5k
mail-in-a-box,mailinabox,mail-in-a-box/mailinabox,https://github.com/mail-in-a-box/mailinabox,15311,242,363,main,3. 10k–25k,4. 201–1000,1. 100–499
pre-commit,pre-commit,pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,15300,166,824,main,3. 10k–25k,3. 51–200,2. 500–999
albumentations-team,albumentations,albumentations-team/albumentations,https://github.com/albumentations-team/albumentations,15298,172,695,main,3. 10k–25k,3. 51–200,2. 500–999
encode,httpx,encode/httpx,https://github.com/encode/httpx,15287,247,522,master,3. 10k–25k,4. 201–1000,2. 500–999
lra,mackup,lra/mackup,https://github.com/lra/mackup,15243,501,325,master,3. 10k–25k,4. 201–1000,1. 100–499
beetbox,beets,beetbox/beets,https://github.com/beetbox/beets,15174,706,4417,master,3. 10k–25k,4. 201–1000,3. 1k–5k
budtmo,docker-android,budtmo/docker-android,https://github.com/budtmo/docker-android,15144,59,242,master,3. 10k–25k,3. 51–200,1. 100–499
andkret,Cookbook,andkret/Cookbook,https://github.com/andkret/Cookbook,15105,40,124,master,3. 10k–25k,2. 11–50,1. 100–499
bloomberg,memray,bloomberg/memray,https://github.com/bloomberg/memray,15048,71,1269,main,3. 10k–25k,3. 51–200,3. 1k–5k
jundot,omlx,jundot/omlx,https://github.com/jundot/omlx,14991,113,1237,main,3. 10k–25k,3. 51–200,3. 1k–5k
llmware-ai,llmware,llmware-ai/llmware,https://github.com/llmware-ai/llmware,14863,89,2386,main,3. 10k–25k,3. 51–200,3. 1k–5k
Nuitka,Nuitka,Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,14852,210,7185,develop,3. 10k–25k,4. 201–1000,4. 5k–20k
MemoriLabs,Memori,MemoriLabs/Memori,https://github.com/MemoriLabs/Memori,14816,37,600,main,3. 10k–25k,2. 11–50,2. 500–999
teng-lin,notebooklm-py,teng-lin/notebooklm-py,https://github.com/teng-lin/notebooklm-py,14809,25,1231,main,3. 10k–25k,2. 11–50,3. 1k–5k
Comfy-Org,ComfyUI-Manager,Comfy-Org/ComfyUI-Manager,https://github.com/Comfy-Org/ComfyUI-Manager,14773,824,4756,main,3. 10k–25k,4. 201–1000,3. 1k–5k
coderamp-labs,gitingest,coderamp-labs/gitingest,https://github.com/coderamp-labs/gitingest,14752,55,405,main,3. 10k–25k,3. 51–200,1. 100–499
scipy,scipy,scipy/scipy,https://github.com/scipy/scipy,14716,1911,11762,main,3. 10k–25k,5. > 1000,4. 5k–20k
WEIFENG2333,VideoCaptioner,WEIFENG2333/VideoCaptioner,https://github.com/WEIFENG2333/VideoCaptioner,14700,13,527,master,3. 10k–25k,2. 11–50,2. 500–999
horovod,horovod,horovod/horovod,https://github.com/horovod/horovod,14690,176,399,master,3. 10k–25k,3. 51–200,1. 100–499
Anionex,banana-slides,Anionex/banana-slides,https://github.com/Anionex/banana-slides,14674,17,771,main,3. 10k–25k,2. 11–50,2. 500–999
microsoft,playwright-python,microsoft/playwright-python,https://github.com/microsoft/playwright-python,14664,53,669,main,3. 10k–25k,3. 51–200,2. 500–999
sympy,sympy,sympy/sympy,https://github.com/sympy/sympy,14643,1489,15033,master,3. 10k–25k,5. > 1000,4. 5k–20k
Zulko,moviepy,Zulko/moviepy,https://github.com/Zulko/moviepy,14630,191,494,master,3. 10k–25k,3. 51–200,1. 100–499
nltk,nltk,nltk/nltk,https://github.com/nltk/nltk,14623,497,1092,develop,3. 10k–25k,4. 201–1000,3. 1k–5k
google-deepmind,alphafold,google-deepmind/alphafold,https://github.com/google-deepmind/alphafold,14612,25,209,main,3. 10k–25k,2. 11–50,1. 100–499
pyodide,pyodide,pyodide/pyodide,https://github.com/pyodide/pyodide,14612,306,2763,main,3. 10k–25k,4. 201–1000,3. 1k–5k
SWivid,F5-TTS,SWivid/F5-TTS,https://github.com/SWivid/F5-TTS,14577,63,696,main,3. 10k–25k,3. 51–200,2. 500–999
BlinkDL,RWKV-LM,BlinkDL/RWKV-LM,https://github.com/BlinkDL/RWKV-LM,14537,5,877,main,3. 10k–25k,1. 5–10,2. 500–999
JoeanAmier,TikTokDownloader,JoeanAmier/TikTokDownloader,https://github.com/JoeanAmier/TikTokDownloader,14530,5,1895,master,3. 10k–25k,1. 5–10,3. 1k–5k
gunthercox,ChatterBot,gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot,14484,107,198,master,3. 10k–25k,3. 51–200,1. 100–499
LibreTranslate,LibreTranslate,LibreTranslate/LibreTranslate,https://github.com/LibreTranslate/LibreTranslate,14414,292,1550,main,3. 10k–25k,4. 201–1000,3. 1k–5k
flairNLP,flair,flairNLP/flair,https://github.com/flairNLP/flair,14380,278,3311,master,3. 10k–25k,4. 201–1000,3. 1k–5k
vectorize-io,hindsight,vectorize-io/hindsight,https://github.com/vectorize-io/hindsight,14317,97,1408,main,3. 10k–25k,3. 51–200,3. 1k–5k
MODSetter,SurfSense,MODSetter/SurfSense,https://github.com/MODSetter/SurfSense,14292,80,5994,main,3. 10k–25k,3. 51–200,4. 5k–20k
maurosoria,dirsearch,maurosoria/dirsearch,https://github.com/maurosoria/dirsearch,14288,113,886,master,3. 10k–25k,3. 51–200,2. 500–999
dmlc,dgl,dmlc/dgl,https://github.com/dmlc/dgl,14275,298,2703,master,3. 10k–25k,4. 201–1000,3. 1k–5k
optuna,optuna,optuna/optuna,https://github.com/optuna/optuna,14237,386,10848,master,3. 10k–25k,4. 201–1000,4. 5k–20k
modelscope,ms-swift,modelscope/ms-swift,https://github.com/modelscope/ms-swift,14232,147,3325,main,3. 10k–25k,3. 51–200,3. 1k–5k
SFTtech,openage,SFTtech/openage,https://github.com/SFTtech/openage,14220,221,1866,master,3. 10k–25k,4. 201–1000,3. 1k–5k
PaddlePaddle,PaddleDetection,PaddlePaddle/PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,14216,188,1375,release/2.9,3. 10k–25k,3. 51–200,3. 1k–5k
unifyai,ivy,unifyai/ivy,https://github.com/unifyai/ivy,14190,1486,19003,main,3. 10k–25k,5. > 1000,4. 5k–20k
sml2h3,ddddocr,sml2h3/ddddocr,https://github.com/sml2h3/ddddocr,14110,9,111,master,3. 10k–25k,1. 5–10,1. 100–499
geldata,gel,geldata/gel,https://github.com/geldata/gel,14089,140,4162,master,3. 10k–25k,3. 51–200,3. 1k–5k
idank,explainshell,idank/explainshell,https://github.com/idank/explainshell,14061,27,475,master,3. 10k–25k,2. 11–50,1. 100–499
vibrantlabsai,ragas,vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas,14029,246,1147,main,3. 10k–25k,4. 201–1000,3. 1k–5k
FlareSolverr,FlareSolverr,FlareSolverr/FlareSolverr,https://github.com/FlareSolverr/FlareSolverr,14006,46,334,master,3. 10k–25k,2. 11–50,1. 100–499
google,yapf,google/yapf,https://github.com/google/yapf,13983,156,232,main,3. 10k–25k,3. 51–200,1. 100–499
mwaskom,seaborn,mwaskom/seaborn,https://github.com/mwaskom/seaborn,13887,216,466,master,3. 10k–25k,4. 201–1000,1. 100–499
dottxt-ai,outlines,dottxt-ai/outlines,https://github.com/dottxt-ai/outlines,13879,157,1254,main,3. 10k–25k,3. 51–200,3. 1k–5k
pytest-dev,pytest,pytest-dev/pytest,https://github.com/pytest-dev/pytest,13870,1117,3651,main,3. 10k–25k,5. > 1000,3. 1k–5k
prowler-cloud,prowler,prowler-cloud/prowler,https://github.com/prowler-cloud/prowler,13865,397,6870,master,3. 10k–25k,4. 201–1000,4. 5k–20k
mlfoundations,open_clip,mlfoundations/open_clip,https://github.com/mlfoundations/open_clip,13847,68,680,main,3. 10k–25k,3. 51–200,2. 500–999
dask,dask,dask/dask,https://github.com/dask/dask,13844,650,3264,main,3. 10k–25k,4. 201–1000,3. 1k–5k
Tencent-Hunyuan,Hunyuan3D-2,Tencent-Hunyuan/Hunyuan3D-2,https://github.com/Tencent-Hunyuan/Hunyuan3D-2,13824,37,184,main,3. 10k–25k,2. 11–50,1. 100–499
andrewyng,aisuite,andrewyng/aisuite,https://github.com/andrewyng/aisuite,13780,33,298,main,3. 10k–25k,2. 11–50,1. 100–499
rohitg00,ai-engineering-from-scratch,rohitg00/ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,13777,6,1115,main,3. 10k–25k,1. 5–10,3. 1k–5k
ag-ui-protocol,ag-ui,ag-ui-protocol/ag-ui,https://github.com/ag-ui-protocol/ag-ui,13768,110,1844,main,3. 10k–25k,3. 51–200,3. 1k–5k
yusufkaraaslan,Skill_Seekers,yusufkaraaslan/Skill_Seekers,https://github.com/yusufkaraaslan/Skill_Seekers,13725,40,726,development,3. 10k–25k,2. 11–50,2. 500–999
NVIDIA,TensorRT-LLM,NVIDIA/TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,13703,384,6808,main,3. 10k–25k,4. 201–1000,4. 5k–20k
NevaMind-AI,memU,NevaMind-AI/memU,https://github.com/NevaMind-AI/memU,13692,30,288,main,3. 10k–25k,2. 11–50,1. 100–499
evilsocket,opensnitch,evilsocket/opensnitch,https://github.com/evilsocket/opensnitch,13678,105,1312,master,3. 10k–25k,3. 51–200,3. 1k–5k
alexta69,metube,alexta69/metube,https://github.com/alexta69/metube,13621,87,651,master,3. 10k–25k,3. 51–200,2. 500–999
nikopueringer,CorridorKey,nikopueringer/CorridorKey,https://github.com/nikopueringer/CorridorKey,13605,35,196,main,3. 10k–25k,2. 11–50,1. 100–499
python-pillow,Pillow,python-pillow/Pillow,https://github.com/python-pillow/Pillow,13579,505,8366,main,3. 10k–25k,4. 201–1000,4. 5k–20k
browser-use,browser-harness,browser-use/browser-harness,https://github.com/browser-use/browser-harness,13576,68,391,main,3. 10k–25k,3. 51–200,1. 100–499
Data-Centric-AI-Community,fg-data-profiling,Data-Centric-AI-Community/fg-data-profiling,https://github.com/Data-Centric-AI-Community/fg-data-profiling,13570,141,710,develop,3. 10k–25k,3. 51–200,2. 500–999
redis,redis-py,redis/redis-py,https://github.com/redis/redis-py,13538,546,1193,master,3. 10k–25k,4. 201–1000,3. 1k–5k
cookiecutter,cookiecutter-django,cookiecutter/cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,13524,472,3906,main,3. 10k–25k,4. 201–1000,3. 1k–5k
searx,searx,searx/searx,https://github.com/searx/searx,13497,208,360,master,3. 10k–25k,4. 201–1000,1. 100–499
Gallopsled,pwntools,Gallopsled/pwntools,https://github.com/Gallopsled/pwntools,13457,306,627,dev,3. 10k–25k,4. 201–1000,2. 500–999
plasma-umass,scalene,plasma-umass/scalene,https://github.com/plasma-umass/scalene,13425,57,2169,master,3. 10k–25k,3. 51–200,3. 1k–5k
apache,tvm,apache/tvm,https://github.com/apache/tvm,13382,1144,7846,main,3. 10k–25k,5. > 1000,4. 5k–20k
Lightning-AI,litgpt,Lightning-AI/litgpt,https://github.com/Lightning-AI/litgpt,13380,132,1475,main,3. 10k–25k,3. 51–200,3. 1k–5k
TomSchimansky,CustomTkinter,TomSchimansky/CustomTkinter,https://github.com/TomSchimansky/CustomTkinter,13368,14,551,master,3. 10k–25k,2. 11–50,2. 500–999
borgbackup,borg,borgbackup/borg,https://github.com/borgbackup/borg,13357,364,3729,master,3. 10k–25k,4. 201–1000,3. 1k–5k
sshuttle,sshuttle,sshuttle/sshuttle,https://github.com/sshuttle/sshuttle,13334,156,476,master,3. 10k–25k,3. 51–200,1. 100–499
DLR-RM,stable-baselines3,DLR-RM/stable-baselines3,https://github.com/DLR-RM/stable-baselines3,13316,172,398,master,3. 10k–25k,3. 51–200,1. 100–499
getpelican,pelican,getpelican/pelican,https://github.com/getpelican/pelican,13303,485,560,main,3. 10k–25k,4. 201–1000,2. 500–999
FujiwaraChoki,MoneyPrinter,FujiwaraChoki/MoneyPrinter,https://github.com/FujiwaraChoki/MoneyPrinter,13298,29,219,main,3. 10k–25k,2. 11–50,1. 100–499
GreyDGL,PentestGPT,GreyDGL/PentestGPT,https://github.com/GreyDGL/PentestGPT,13249,24,302,main,3. 10k–25k,2. 11–50,1. 100–499
dbcli,pgcli,dbcli/pgcli,https://github.com/dbcli/pgcli,13182,197,180,main,3. 10k–25k,3. 51–200,1. 100–499
microsoft,RD-Agent,microsoft/RD-Agent,https://github.com/microsoft/RD-Agent,13175,37,1009,main,3. 10k–25k,2. 11–50,3. 1k–5k
Jiayi-Pan,TinyZero,Jiayi-Pan/TinyZero,https://github.com/Jiayi-Pan/TinyZero,13111,15,156,main,3. 10k–25k,2. 11–50,1. 100–499
567-labs,instructor,567-labs/instructor,https://github.com/567-labs/instructor,13010,251,1557,main,3. 10k–25k,4. 201–1000,3. 1k–5k
