repo_full,n_commits,n_bic,taxa_bic_pct,pct_pequeno,pct_medio,pct_grande
OpenBMB/MiniCPM-V,582,10,1.72,79.21,18.38,2.41
OpenBMB/VoxCPM,118,27,22.88,53.39,38.98,7.63
OpenHands/OpenHands,2579,56,2.17,35.05,46.22,18.73
OthmanAdi/planning-with-files,237,16,6.75,40.08,35.02,24.89
PDFMathTranslate/PDFMathTranslate,933,129,13.83,69.88,28.51,1.61
PaddlePaddle/PaddleOCR,405,14,3.46,40.25,36.54,23.21
Panniantong/Agent-Reach,218,81,37.16,37.61,50.0,12.39
PostHog/posthog,81997,78,0.1,40.43,41.09,18.47
PrefectHQ/fastmcp,3169,213,6.72,36.92,46.26,16.82
PrefectHQ/prefect,30860,93,0.3,55.15,37.5,7.35
PromtEngineer/localGPT,258,34,13.18,60.85,35.27,3.88
Pythagora-io/gpt-pilot,32598,6,0.02,36.25,48.23,15.52
QuivrHQ/quivr,6371,90,1.41,45.66,37.51,16.83
QwenLM/Qwen,354,16,4.52,68.93,27.4,3.67
QwenLM/Qwen-Agent,299,152,50.84,40.13,32.44,27.42
QwenLM/Qwen3,257,1,0.39,57.59,29.96,12.45
QwenLM/Qwen3-Coder,214,4,1.87,56.54,30.84,12.62
RVC-Boss/GPT-SoVITS,119,37,31.09,63.03,28.57,8.4
Rapptz/discord.py,2801,121,4.32,70.4,25.88,3.71
RasaHQ/rasa,12340,140,1.13,54.1,33.65,12.24
SWE-agent/SWE-agent,2627,127,4.83,59.76,31.18,9.06
SWivid/F5-TTS,563,101,17.94,65.19,29.13,5.68
SYSTRAN/faster-whisper,268,32,11.94,75.75,21.27,2.99
ScrapeGraphAI/Scrapegraph-ai,2102,225,10.7,59.56,31.21,9.23
Shubhamsaboo/awesome-llm-apps,402,12,2.99,47.76,37.31,14.93
Skyvern-AI/skyvern,6052,139,2.3,40.17,42.56,17.27
SuperClaude-Org/SuperClaude_Framework,382,48,12.57,41.62,34.03,24.35
TauricResearch/TradingAgents,128,41,32.03,45.31,36.72,17.97
Textualize/rich,239,12,5.02,77.41,19.25,3.35
Textualize/textual,11400,194,1.7,62.2,28.46,9.34
