repositorio,api,repeticao,tempo_ms,tamanho_bytes
TheAlgorithms/Python,REST,3,320.391,6755
TheAlgorithms/Python,GraphQL,3,499.884,1005
TheAlgorithms/Python,GraphQL,4,460.94,1005
TheAlgorithms/Python,REST,4,377.501,6755
TheAlgorithms/Python,REST,5,358.77,6755
TheAlgorithms/Python,GraphQL,5,547.165,1005
affaan-m/ECC,REST,1,294.837,5261
affaan-m/ECC,GraphQL,1,372.111,892
affaan-m/ECC,GraphQL,2,406.19,892
affaan-m/ECC,REST,2,357.853,5261
affaan-m/ECC,GraphQL,3,523.037,892
affaan-m/ECC,GraphQL,4,455.267,892
affaan-m/ECC,REST,4,263.136,5261
affaan-m/ECC,REST,5,353.031,5261
affaan-m/ECC,GraphQL,5,638.689,892
vuejs/vue,REST,1,323.337,5949
vuejs/vue,GraphQL,1,479.962,669
vuejs/vue,GraphQL,2,387.856,669
vuejs/vue,REST,2,431.878,5949
vuejs/vue,REST,3,366.707,5949
vuejs/vue,GraphQL,3,375.849,669
vuejs/vue,GraphQL,4,440.328,669
vuejs/vue,REST,4,454.906,5949
vuejs/vue,REST,5,315.454,5949
vuejs/vue,GraphQL,5,507.734,669
ossu/computer-science,REST,1,356.99,6454
ossu/computer-science,GraphQL,1,423.978,678
ossu/computer-science,GraphQL,2,437.742,678
ossu/computer-science,REST,2,364.278,6454
ossu/computer-science,REST,3,465.403,6454
ossu/computer-science,GraphQL,3,497.1,678
ossu/computer-science,GraphQL,4,519.121,678
ossu/computer-science,REST,4,363.656,6454
ossu/computer-science,REST,5,382.725,6454
ossu/computer-science,GraphQL,5,442.497,678
NousResearch/hermes-agent,REST,1,360.925,6863
NousResearch/hermes-agent,GraphQL,1,507.89,1009
NousResearch/hermes-agent,GraphQL,2,437.724,1009
NousResearch/hermes-agent,REST,2,357.431,6863
NousResearch/hermes-agent,REST,3,440.211,6863
NousResearch/hermes-agent,GraphQL,3,431.144,1009
NousResearch/hermes-agent,GraphQL,4,491.435,1009
NousResearch/hermes-agent,REST,4,464.228,6863
NousResearch/hermes-agent,REST,5,374.357,6863
NousResearch/hermes-agent,GraphQL,5,495.965,1009
trekhleb/javascript-algorithms,REST,1,276.602,6047
trekhleb/javascript-algorithms,GraphQL,1,604.035,877
trekhleb/javascript-algorithms,GraphQL,2,505.452,877
trekhleb/javascript-algorithms,REST,2,343.828,6047
trekhleb/javascript-algorithms,REST,3,295.142,6047
trekhleb/javascript-algorithms,GraphQL,3,537.818,877
trekhleb/javascript-algorithms,GraphQL,4,469.944,877
trekhleb/javascript-algorithms,REST,4,277.62,6047
trekhleb/javascript-algorithms,REST,5,302.524,6047
trekhleb/javascript-algorithms,GraphQL,5,480.223,877
tensorflow/tensorflow,REST,1,465.277,6822
tensorflow/tensorflow,GraphQL,1,422.812,818
tensorflow/tensorflow,GraphQL,2,432.093,818
tensorflow/tensorflow,REST,2,528.089,6822
tensorflow/tensorflow,REST,3,453.167,6822
tensorflow/tensorflow,GraphQL,3,460.417,818
tensorflow/tensorflow,GraphQL,4,464.652,818
tensorflow/tensorflow,REST,4,640.938,6822
tensorflow/tensorflow,REST,5,483.723,6822
tensorflow/tensorflow,GraphQL,5,635.27,818
ultraworkers/claw-code,REST,1,296.035,6626
ultraworkers/claw-code,GraphQL,1,425.438,596
ultraworkers/claw-code,GraphQL,2,359.59,596
ultraworkers/claw-code,REST,2,357.726,6626
ultraworkers/claw-code,REST,3,361.786,6626
ultraworkers/claw-code,GraphQL,3,470.289,596
ultraworkers/claw-code,GraphQL,4,450.261,596
ultraworkers/claw-code,REST,4,355.594,6626
ultraworkers/claw-code,REST,5,464.193,6626
ultraworkers/claw-code,GraphQL,5,337.986,596
n8n-io/n8n,REST,1,341.023,6269
n8n-io/n8n,GraphQL,1,579.567,1255
n8n-io/n8n,GraphQL,2,470.018,1255
n8n-io/n8n,REST,2,358.72,6269
n8n-io/n8n,REST,3,392.165,6269
n8n-io/n8n,GraphQL,3,523.235,1255
n8n-io/n8n,GraphQL,4,496.589,1255
n8n-io/n8n,REST,4,566.257,6269
n8n-io/n8n,REST,5,566.022,6269
n8n-io/n8n,GraphQL,5,495.281,1255
ohmyzsh/ohmyzsh,REST,1,457.988,6661
ohmyzsh/ohmyzsh,GraphQL,1,470.67,1288
ohmyzsh/ohmyzsh,GraphQL,2,461.956,1288
ohmyzsh/ohmyzsh,REST,2,359.306,6661
ohmyzsh/ohmyzsh,REST,3,348.232,6661
ohmyzsh/ohmyzsh,GraphQL,3,571.615,1288
ohmyzsh/ohmyzsh,GraphQL,4,455.21,1288
ohmyzsh/ohmyzsh,REST,4,361.155,6661
ohmyzsh/ohmyzsh,REST,5,456.906,6661
ohmyzsh/ohmyzsh,GraphQL,5,474.285,1288
microsoft/vscode,REST,1,462.908,6517
microsoft/vscode,GraphQL,1,564.018,677
microsoft/vscode,GraphQL,2,566.142,677
microsoft/vscode,REST,2,466.473,6517
microsoft/vscode,REST,3,454.61,6517
microsoft/vscode,GraphQL,3,427.754,677
microsoft/vscode,GraphQL,4,514.26,677
microsoft/vscode,REST,4,437.945,6517
microsoft/vscode,REST,5,461.579,6517
microsoft/vscode,GraphQL,5,438.578,677
Significant-Gravitas/AutoGPT,REST,1,459.561,7206
Significant-Gravitas/AutoGPT,GraphQL,1,506.034,984
Significant-Gravitas/AutoGPT,GraphQL,2,484.288,984
Significant-Gravitas/AutoGPT,REST,2,371.403,7206
Significant-Gravitas/AutoGPT,REST,3,413.438,7206
Significant-Gravitas/AutoGPT,GraphQL,3,524.289,984
Significant-Gravitas/AutoGPT,GraphQL,4,566.237,984
Significant-Gravitas/AutoGPT,REST,4,569.402,7206
Significant-Gravitas/AutoGPT,REST,5,462.958,7206
Significant-Gravitas/AutoGPT,GraphQL,5,451.32,984
CyC2018/CS-Notes,REST,1,299.172,5265
CyC2018/CS-Notes,GraphQL,1,409.069,807
CyC2018/CS-Notes,GraphQL,2,462.758,807
CyC2018/CS-Notes,REST,2,361.105,5265
CyC2018/CS-Notes,REST,3,358.896,5265
CyC2018/CS-Notes,GraphQL,3,462.087,807
CyC2018/CS-Notes,GraphQL,4,393.425,807
CyC2018/CS-Notes,REST,4,283.462,5265
CyC2018/CS-Notes,REST,5,263.801,5265
CyC2018/CS-Notes,GraphQL,5,522.468,807
getify/You-Dont-Know-JS,REST,1,367.19,5700
getify/You-Dont-Know-JS,GraphQL,1,464.412,967
getify/You-Dont-Know-JS,GraphQL,2,459.506,967
getify/You-Dont-Know-JS,REST,2,360.88,5700
getify/You-Dont-Know-JS,REST,3,287.089,5700
getify/You-Dont-Know-JS,GraphQL,3,444.085,967
getify/You-Dont-Know-JS,GraphQL,4,431.966,967
getify/You-Dont-Know-JS,REST,4,373.576,5700
getify/You-Dont-Know-JS,REST,5,357.396,5700
getify/You-Dont-Know-JS,GraphQL,5,424.025,967
jackfrued/Python-100-Days,REST,1,317.413,5514
jackfrued/Python-100-Days,GraphQL,1,358.603,505
jackfrued/Python-100-Days,GraphQL,2,348.111,505
jackfrued/Python-100-Days,REST,2,365.423,5514
jackfrued/Python-100-Days,REST,3,283.022,5514
jackfrued/Python-100-Days,GraphQL,3,363.933,505
jackfrued/Python-100-Days,GraphQL,4,429.221,505
jackfrued/Python-100-Days,REST,4,272.15,5514
jackfrued/Python-100-Days,REST,5,277.511,5514
jackfrued/Python-100-Days,GraphQL,5,320.357,505
multica-ai/andrej-karpathy-skills,REST,1,341.859,6932
multica-ai/andrej-karpathy-skills,GraphQL,1,386.51,573
multica-ai/andrej-karpathy-skills,GraphQL,2,364.297,573
multica-ai/andrej-karpathy-skills,REST,2,341.801,6932
multica-ai/andrej-karpathy-skills,REST,3,369.517,6932
multica-ai/andrej-karpathy-skills,GraphQL,3,383.423,573
multica-ai/andrej-karpathy-skills,GraphQL,4,314.902,573
multica-ai/andrej-karpathy-skills,REST,4,307.463,6932
multica-ai/andrej-karpathy-skills,REST,5,355.318,6932
multica-ai/andrej-karpathy-skills,GraphQL,5,320.699,573
massgravel/Microsoft-Activation-Scripts,REST,1,358.564,7623
massgravel/Microsoft-Activation-Scripts,GraphQL,1,664.013,1133
massgravel/Microsoft-Activation-Scripts,GraphQL,2,470.26,1133
massgravel/Microsoft-Activation-Scripts,REST,2,341.921,7623
massgravel/Microsoft-Activation-Scripts,REST,3,334.149,7623
massgravel/Microsoft-Activation-Scripts,GraphQL,3,493.707,1133
massgravel/Microsoft-Activation-Scripts,GraphQL,4,517.199,1133
massgravel/Microsoft-Activation-Scripts,REST,4,330.927,7623
massgravel/Microsoft-Activation-Scripts,REST,5,347.295,7623
massgravel/Microsoft-Activation-Scripts,GraphQL,5,438.126,1133
